semg_rms,semg_std,semg_max,angle_mean,angle_std,angle_range,amg_rms,amg_std
91.44061,91.44062,2485.466,53.46525,40.63994,112.4566,28.074978,28.074984
79.81884,79.81884,1245.5074,53.56292,41.694824,114.769325,30.505253,30.505253
142.96027,142.96028,4017.4377,53.388676,33.93913,104.3808,133.57219,133.5722
143.25974,143.25974,3277.2458,53.130207,33.404545,100.36837,128.48412,128.48412
131.19322,131.19324,2616.8452,53.305073,33.818943,101.55854,116.92035,116.92036
129.73238,129.73238,5475.9097,53.068375,33.197273,100.42954,133.65846,133.65846
128.55864,128.55864,2152.5356,64.305016,31.871832,106.862915,28.685987,28.685987
111.63132,111.63131,1426.2728,63.435196,32.162754,101.80167,29.730509,29.730509
109.657616,109.657616,1419.0354,63.90369,32.180397,103.83182,30.488781,30.488781
109.440315,109.440315,1448.0505,64.59093,32.711277,106.08203,28.775923,28.77592
93.490906,93.490906,1197.1421,61.830357,33.557907,105.70164,28.290121,28.290125
82.73847,82.73847,1087.7855,61.64626,34.56011,108.50135,33.373047,33.373047
77.380585,77.38058,1083.1665,61.31735,32.98492,109.84117,31.33492,31.334919
89.9987,89.9987,1424.5178,62.157566,34.523254,117.023865,35.605705,35.6057
66.9819,66.9819,926.64294,56.09268,30.77547,97.66273,14.32089,14.320892
65.22893,65.22893,853.908,56.238106,30.143444,93.78726,12.519556,12.519558
66.82077,66.82076,779.32056,56.30973,30.425102,96.1966,11.244163,11.244163
69.70517,69.70517,1014.477,56.472614,31.189213,97.500336,12.698296,12.698294
77.61627,77.61627,1404.9984,57.603493,28.1969,106.225525,114.65965,114.65965
73.89524,73.89524,1299.4819,57.29419,28.322165,112.99527,97.044785,97.044785
78.55757,78.55757,1532.9708,57.299755,28.359238,102.669586,92.371925,92.37195
70.834045,70.834045,1291.37,57.317,28.284182,105.80174,109.523384,109.523384
124.70324,124.70324,1494.4825,66.68894,32.623333,88.64911,21.17661,21.17661
