semg_rms,semg_std,semg_p25,semg_p75,semg_p95,angle_mean,angle_std,angle_range,angle_p25,angle_p75,angle_p95,amg_rms,amg_std,amg_p95
101.62061,101.620605,-22.795065,23.729733,129.31575,54.581993,28.813147,82.38443,28.6094,79.62749,91.25404,24.44272,24.442719,36.002007
67.36263,67.36263,-18.870878,18.742672,70.02254,53.558697,35.534718,128.37141,13.62425,87.16708,93.314156,92.83756,92.83756,126.38286
62.40089,62.40089,-21.742596,21.811626,77.279976,54.13093,34.901314,123.76952,15.835042,87.00723,93.07111,87.085556,87.085556,122.211426
57.03144,57.03144,-20.261656,20.69328,68.07785,53.97771,35.39415,128.2994,14.45341,87.0932,91.91144,89.43571,89.43571,127.01192
56.7227,56.7227,-18.848505,19.554472,65.30983,53.327904,36.193188,125.76773,12.269281,86.52981,93.39458,95.42643,95.42644,130.87378
144.53827,144.53827,-39.33739,40.1493,205.83972,68.199066,33.65194,103.33665,33.376747,95.56127,107.03813,24.844275,24.844273,34.620743
141.96222,141.96222,-38.952198,39.946236,191.76727,66.25907,38.434635,105.25325,14.137071,100.64179,111.35729,30.01733,30.017332,41.40156
138.31148,138.31148,-39.62497,41.815697,183.50385,66.63579,38.23716,103.94053,16.145504,100.41113,111.5568,29.089428,29.089428,39.674572
128.6049,128.6049,-36.159836,36.609756,180.62524,64.16298,36.0377,107.79301,15.676433,97.727646,104.31344,29.75571,29.755709,42.882996
134.92543,134.92543,-35.189194,35.112465,189.6748,62.98349,35.24895,98.144806,14.365133,95.85417,102.02164,30.742897,30.742897,40.578957
133.20454,133.20454,-38.69995,40.07457,173.48856,62.58188,37.55533,100.08086,12.183773,96.621284,104.64407,27.30567,27.30567,35.814026
126.682335,126.682335,-30.261827,30.624487,190.76057,64.325874,34.931824,102.65358,17.282925,95.67624,104.36703,28.707869,28.707869,40.93388
128.52585,128.52585,-38.013245,41.309414,172.08147,64.37947,37.125675,99.886284,15.858099,97.26818,107.00524,24.188913,24.188915,31.311787
144.6533,144.6533,-60.90645,67.64786,189.658,57.889988,37.06492,112.2761,17.951248,74.65932,124.25692,16.914818,16.91482,24.272846
136.8804,136.88039,-52.44896,53.082657,180.25034,58.21772,37.324154,113.715004,19.58686,75.143456,123.23947,18.923355,18.923359,27.204678
126.06309,126.06309,-47.50541,48.08623,160.3025,58.294395,37.845074,114.55866,20.157682,75.70148,125.73038,19.983343,19.983345,28.417242
136.67633,136.67632,-58.92015,60.4476,172.09322,58.522305,38.731293,116.406845,19.812923,76.29037,127.83678,21.2343,21.234303,29.508211
102.18992,102.18992,-32.709686,30.67918,116.15043,58.98929,29.010515,102.00968,27.06087,83.097626,92.09713,70.558495,70.55849,97.69031
